Time (s),Encoder Displacement (m),Load Cell Full Scale (N),epsLX [%]
54.7,0.000554868,12.592164,2.717368
54.8,0.000555879,12.600722,2.723689
54.9,0.000556864,12.621967,2.731273
55,0.000557878,12.652803,2.738663
55.1,0.000558865,12.648177,2.745517
55.2,0.00055989,12.619289,2.751706
55.3,0.000560872,12.59317,2.758215
55.4,0.000561879,12.631315,2.765332
55.5,0.00056287,12.615615,2.770637
55.6,0.000563875,12.694291,2.7779
55.7,0.000564881,12.582911,2.781467
55.8,0.000565862,12.577442,2.786148
55.9,0.00056688,12.649259,2.792134
56,0.000567863,12.614304,2.801025
56.1,0.000568873,12.636404,2.809982
56.2,0.00056987,12.628283,2.814677
56.3,0.000570865,12.638173,2.821781
56.4,0.000571868,12.630414,2.829037
56.5,0.000572883,12.636046,2.835212
56.6,0.000573865,12.698282,2.842536
56.7,0.000574872,12.652662,2.848204
56.8,0.000575881,12.735246,2.854347
56.9,0.000576869,12.673329,2.859171
57,0.000577867,12.627214,2.870707
57.1,0.000578881,12.648797,2.878849
57.2,0.000579875,12.678571,2.883668
57.3,0.000580866,12.635402,2.891341
57.4,0.000581874,12.644425,2.8962
57.5,0.000582882,12.670697,2.901683
57.6,0.000583867,12.669779,2.908756
57.7,0.000584872,12.669265,2.91594
57.8,0.000585879,12.620216,2.922697
57.9,0.000586868,12.625655,2.929146
58,0.000587876,12.668576,2.934712
58.1,0.000588874,12.635292,2.941927
58.2,0.000589861,12.63853,2.946791
58.3,0.000590874,12.656873,2.956532
58.4,0.000591872,12.662902,2.961128
58.5,0.000592867,12.551545,2.968227
58.6,0.000593872,12.626475,2.974116
58.7,0.00059487,12.635433,2.981383
58.8,0.000595875,12.672905,2.988314
58.9,0.000596864,12.664217,2.995242
59,0.000597877,12.651396,3.001211
59.1,0.000598865,12.661125,3.008991
59.2,0.000599868,12.691496,3.014626
59.3,0.00060088,12.735004,3.022881
59.4,0.000601866,12.662734,3.03044
59.5,0.000602871,12.64326,3.035741
59.6,0.000603883,12.629593,3.042034
59.7,0.000604869,12.679107,3.04971
59.8,0.000605857,12.616579,3.056566
59.9,0.000606876,12.661994,3.062478
60,0.000607873,12.632664,3.068609
60.1,0.000608864,12.657485,3.076715
60.2,0.000609879,12.677258,3.082792
60.3,0.000610884,12.670014,3.090721
60.4,0.000611869,12.718279,3.096294
60.5,0.000612872,12.640254,3.103688
60.6,0.000613876,12.650966,3.110959
60.7,0.000614866,12.652158,3.11761
60.8,0.000615886,12.662928,3.1249
60.9,0.00061687,12.652766,3.13045
61,0.000617868,12.656556,3.137941
61.1,0.000618874,12.627161,3.145643
61.2,0.000619863,12.734992,3.152883
61.3,0.000620865,12.609221,3.159873
